ID,Course Name,Category,Description,Rating,No of Students,Total Course Hours
1,Python for Beginners,Development,"Master the basics of Python programming. Learn variables, loops, functions, and basic data structures to build your first applications.",4.7,45230,12.5
2,Advanced Web Development,Development,"Deep dive into HTML5, CSS3, JavaScript, and modern frameworks like React to build responsive, dynamic websites.",4.6,28150,18.0
3,UI/UX Design Fundamentals,Design,Learn the core principles of user interface and user experience design. Create wireframes and prototypes using Figma.,4.5,15400,10.5
4,Introduction to Finance,Finance,"Understand financial statements, budgeting, and basic investing strategies to manage corporate or personal wealth effectively.",4.2,8900,8.0
5,Digital Marketing 101,Business,"Explore SEO, SEM, social media marketing, and email campaigns to boost brand visibility and drive online sales.",4.4,34200,14.0
6,Data Science with R,Development,"Learn statistical analysis, data visualization, and predictive modeling using the powerful R programming language.",4.3,12100,16.5
7,Graphic Design Masterclass,Design,"Master Photoshop, Illustrator, and InDesign. Learn typography, color theory, and branding to create stunning visual assets.",4.8,22600,19.5
8,Product Management Basics,Business,"Discover the product lifecycle, agile methodologies, user story creation, and roadmap planning for successful tech products.",4.1,7450,9.0
9,Excel for Data Analysis,Finance,"Go beyond basics with VLOOKUP, Pivot Tables, and advanced formulas to analyze complex financial and business datasets.",4.6,49100,6.5
10,Introduction to Cybersecurity,Development,"Learn the essentials of network security, cryptography, and how to protect systems against common cyber threats.",4.5,18300,11.0
11,Agile & Scrum Frameworks,Business,Understand the principles of Agile project management and Scrum framework to improve team collaboration and delivery speed.,4.3,11200,5.0
12,Creative Writing Workshop,Lifestyle,"Unleash your imagination. Learn plot development, character building, and dialogue writing for fiction and non-fiction.",4.7,5300,8.5
13,Mobile App Dev with Flutter,Development,Build cross-platform mobile apps for iOS and Android using a single codebase with Google's Flutter framework.,4.6,14800,20.0
14,Stock Market Investing,Finance,"Learn how to analyze stocks, read charts, and build a diversified portfolio for long-term financial growth.",3.9,25600,7.5
15,Photography Masterclass,Design,"Control your camera manually. Master lighting, composition, and post-processing in Lightroom to capture breathtaking photos.",4.7,19400,13.0
16,Machine Learning Basics,Development,"Introduction to regression, classification, clustering, and neural networks using Python and Scikit-Learn libraries.",4.4,21900,15.0
17,Business Strategy & Growth,Business,"Learn how to analyze competitors, identify market opportunities, and scale your business efficiently.",4.2,6800,10.0
18,Public Speaking & Confidence,Lifestyle,"Overcome stage fright and deliver powerful, persuasive presentations. Learn body language and vocal modulation techniques.",4.6,13200,4.5
19,Cryptocurrency & Blockchain,Finance,"Understand decentralized finance, how blockchain works, and the fundamentals of trading Bitcoin and altcoins.",3.8,31000,9.5
20,3D Modeling in Blender,Design,"Learn to model, texture, and animate 3D objects and characters from scratch using open-source software Blender.",4.5,16700,17.0
21,SQL for Data Analytics,Development,"Write powerful SQL queries to extract, filter, and aggregate data from relational database management systems.",4.7,38400,8.0
22,Copywriting that Converts,Business,Write compelling headlines and sales copy that hook readers and turn prospects into paying customers.,4.4,12900,6.0
23,Personal Finance Management,Finance,"Take control of your money. Learn budgeting, debt reduction, saving strategies, and smart long-term financial planning.",4.8,27500,5.5
24,Video Editing with Premiere,Design,"Master Adobe Premiere Pro. Learn cutting, transitions, color correction, and audio syncing for professional videos.",4.6,23100,14.5
